CollectionLTR,FAT,SNF, Amount
2629.8,4.6,8.43,63837.415
16760,3.75,8.47,381414.86
454.6,4.05,8.26,8992.48
1062.4,4.6,8.62,24532.167
95.9,7.32,8.97,3447.036
1416,3.99,8.36,28864.195
17306.4,4.83,8.42,474601.041
4259.9,3.43,8.3,88697.04
2271.1,3.72,7.61,43820.745
18923.9,5.6,8.8,579014.168
14366.5,6.28,8.75,511777.096
6469.1,3.75,8.43,139083.16
3139.5,3.53,8.16,59773.81
395,3.65,8.3,8599.23
49.6,6.39,9,1772.714
10484.2,3.83,8.34,230181.625
491.2,3.62,8.45,11103.235
2594.6,3.73,8.43,53948.095
18210.5,3.59,8.44,398574.4
4036.2,3.3,8.3,79860.035
5872.9,3.51,8.23,115099.405
1014.6,4.23,8.26,20383.775
6724.5,3.93,8.33,147888.39
5485.6,3.67,8.35,116525.83
1883.2,4.04,8.34,40079.665
5548.6,3.74,8.59,130196.835
4050.4,3.49,8.35,84452.7
67.1,6.65,9,2517.167
986.3,3.6,8.4,21191.565
258.8,3.5,8.43,5552.97
141.7,8.36,8.5,6046.215
176.9,3.44,8.68,3527.225
26982.5,3.6,8.32,583923.96
685.4,3.93,8.71,16107.605
1765.4,3.88,8.43,37611.215
756.7,6.75,9.01,25543.696
6983.3,3.74,8.48,157532.84
5.7,3.5,8.07,117.99
1255,4.1,8.29,26073.98
3336.8,3.89,8.44,77607.9
7021,3.66,8.42,151032.32
1406.9,5.83,8.53,45162.833
32651.4,3.69,8.47,753188.642
28503.6,3.68,8.41,650771.07
690.7,3.71,8.41,13565.172
83.4,3.83,8.53,2048.584
8126,3.61,8.6,182622.075
753.9,3.65,8.21,14564.265
8620.6,3.47,8.35,184175.47
18802.1,6.04,8.97,636436.386
1090.7,5.96,8.85,35230.985
925.7,6.11,8.96,29461.179
18652.6,5.2,8.64,534009.462
607.7,6.25,8.98,20349.71
1628.4,3.62,7.66,27503.25
2674.5,3.52,8.11,49436.397
12181.9,6.25,8.96,438165.606
3429.9,5.82,8.39,99559.864
472.9,4.21,8.53,11031.42
10626.4,3.75,8.49,242298.505
905.3,4.09,8.28,20432.54
87.6,5.11,8.44,2068.27
197.3,3.42,8.35,3910.15
736.5,3.7,8.38,16277.581
9.1,5.8,8.5,280.735
759.1,5.55,8.42,20486.394
60.9,2.92,8.37,1100.445
4112.4,3.53,7.98,73587.85
937.8,6.24,8.59,28665.044
675.6,5.48,8.52,18040.574
274.2,5.86,8.76,8436.107
1080.2,6.27,9.06,34745.037
112.6,3.21,8.35,2060.125
45.7,3.71,8,906.13
32753.6,4.36,8.53,840008.175
1458.6,4.16,8.19,29689
240.3,6.39,8.75,8382.302
935,4.03,8.38,19987.15
2080.5,4.12,8.42,51849.166
1795.7,3.62,8.35,35631.25
11106.6,3.38,8.28,233488.82
1338.1,6.19,8.59,43287.596
1336.9,3.7,8.42,28833.22
605.7,5.27,8.73,15001.53
849.9,6.57,9.25,29598.336
16102.6,3.71,8.38,351265.9
3285,3.28,7.98,54785.29
9,3.84,8.5,221.17
673.4,3.66,8.29,13117.34
12273.5,3.43,8.36,261048.775
2937.5,4.15,8.48,68513.75
13753.6,4.09,8.52,339194.635
498.1,6.47,8.99,18132.184
310.2,4.9,8.6,7886.308
4.4,3.75,7.75,86.25
7950.7,4.37,8.44,180086.29
1743.7,4,8.46,39258.74
3078,6.22,8.69,104130.459
906.7,5.65,8.8,27779.723
8277.8,3.58,8.41,176241
2303.5,3.77,8.39,48637.53
2589.4,3.44,8.34,52046.855
2100.1,3.44,8.29,41864.11
1102.5,5.03,8.41,29919.89
1477.8,8.69,8.94,70537.432
780.6,5.93,9.01,24462.24
4090.1,3.68,8.57,91182.71
8225.5,3.76,8.44,176753.42
48928.9,3.59,8.3,1061813.015
1140.2,3.37,8.08,20071.92
2526.4,4.41,8.44,57849.714
240.4,2.97,7.83,3013.06
